Respondent ID,Age,Gender,Family Size,Native State,Zone,Usage,Purchase criteria 1,Purchase criteria 2,Purchase criteria 3,Purchase Monthly Frequency,Monthly Purchase (ltrs),Preferred Brand,Spend (Rs.),Packing Preference,Usage,Purchase Criteria-1,Purchase Criteria-2,Purchase Criteria-3,Purchase Criteria-4,Monthly purchase (cups),Preferred Brand,Spend,Packing Preference,Purchased from,Decision Maker-1,Decision Maker-2,Decision Maker-3,Decision Maker-4,Decision Maker-5
10287148716,35,Female,4,Karnataka,South,Yes,Brand,Price,Taste,4,25,Nandini,1000,Milk Pouches,Yes,Brand,Thickness,Price,Taste,12,Milky Mist,312,Pouch,Retail Outlet,Wife,,,,
10286063608,28,Male,3,Karnataka,South,Yes,Taste,Brand,Price,15,10,Amul,220,Tetrapak,Yes,Taste,Thickness,Brand,Price,15,Milky Mist,384,Pouch,Retail Outlet,Self,,,,
10286023439,<20,Male,3,Gujarat,West,,,,,,,,,,,,,,,,,,,,,,,,
10286012681,28,Male,3,Karnataka,South,Yes,,,,,,,,,,,,,,,,,,,,,,,
10285443789,32,Female,5,Uttar Pradesh,North,Yes,Brand,Taste,Price,30,10,Nandini,200,Milk Pouches,"No, I make it at home",,,,,,,,,,Self,,,,
10285398377,35,Female,3,Karnataka,South,Yes,Taste,Brand,Price,30,35,Nandini,1400,Reusable Containers,Yes,Taste,Thickness,Brand,Price,10,Heritage,249.6,No Specific Choice,Retail Outlet,Wife,,,,
10285294329,34,Female,3,Maharashtra,West,Yes,Brand,Price,Taste,30,15,Nandini,600,Reusable Containers,Yes,Taste,Thickness,Price,Brand,10,Nandini,262.4,Pouch,Milk Distributor,Self,,,,
10285273343,44,Female,4,Karnataka,South,No,,,,,,,,,Yes,Brand,Taste,Price,Thickness,2,Nandini,41,Pouch,Retail Outlet,,,,,
10285238295,46,Female,4,Punjab,North,Yes,Taste,Price,Brand,30,35,Heritage,1540,Milk Pouches,"No, I make it at home",,,,,,,,,,Self,,,,
10285212387,37,Female,3,Punjab,North,Yes,Brand,Taste,Price,4,10,Heritage,220,Milk Pouches,"No, I make it at home",,,,,,,,,,Self,,,,
10284890223,23,Female,5,Karnataka,South,Yes,,,,,,,,,,,,,,,,,,,,,,,
10284733456,65,Male,4,Karnataka,South,Yes,Taste,Brand,Price,30,45,Heritage,1980,Milk Pouches,No,,,,,,,,,,Self,,,,
10284732218,42,Female,6,Karnataka,South,Yes,,,,,,,,,,,,,,,,,,,,,,,
10283431019,27,Male,2,Karnataka,South,Yes,Brand,Taste,Price,15,15,Nandini,600,No Specific Choice,Yes,Taste,Thickness,Brand,Price,2,Milky Mist,60,No Specific Choice,Retail Outlet,Self,,,,
10283335040,36,Female,3,Andhra Pradesh,South,Yes,Taste,Brand,Price,30,10,Nandini,200,Tetrapak,Yes,Taste,Thickness,Brand,Price,4,Milky Mist,192,Cup,Retail Outlet,Wife,Parents,Self,,
10282407146,50,Female,4,Rajasthan,North,No,,,,,,,,,No,,,,,,,,,,Husband,,,,
10282400736,21,Female,5,Rajasthan,North,Yes,Price,Brand,Taste,4,1,Amul,22,Milk Pouches,No,,,,,,,,,,Self,,,,
10282392209,29,Male,2,Rajasthan,North,Yes,Brand,Taste,Price,4,10,Nandini,200,Tetrapak,No,,,,,,,,,,Self,,,,
10282385357,28,Female,4,Rajasthan,North,No,,,,,,,,,No,,,,,,,,,,Parents,,,,
10282374920,25,Female,4,Rajasthan,North,Yes,Brand,Price,Taste,30,1,Nandini,20,Milk Pouches,No,,,,,,,,,,Parents,,,,
10282212941,35,Male,2,Karnataka,South,Yes,Brand,Taste,Price,8,10,Nandini,200,No Specific Choice,Yes,Taste,Thickness,Price,Brand,2,Nandini,41,Pouch,Retail Outlet,Self,,,,
10280842647,23,Male,4,Maharashtra,West,No,,,,,,,,,,,,,,,,,,,,,,,
10279994518,60,Female,3,Karnataka,South,Yes,Taste,Price,Brand,30,25,Nandini,1000,No Specific Choice,Yes,Taste,Price,Brand,Thickness,15,Nandini,262.4,No Specific Choice,Retail Outlet,,,,,
10279878560,30,Female,6,Karnataka,South,Yes,Brand,Price,Taste,30,25,Nandini,1000,Tetrapak,Yes,,,,,,,,,,,,,,
10279723389,21,Male,5,Telangana,South,Yes,Taste,Price,Brand,4,35,Heritage,1540,No Specific Choice,,,,,,,,,,,,,,,
10279585970,35,Male,2,Karnataka,South,Yes,Taste,Price,Brand,30,35,Nandini,1400,No Specific Choice,,,,,,,,,,,,,,,
10279445644,26,Male,3,Karnataka,South,Yes,Price,Brand,Taste,4,35,Nandini,1400,Milk Pouches,No,,,,,,,,,,Parents,,,,
10279413363,23,Male,3,Maharashtra,West,Yes,Taste,Brand,Price,8,15,Gokul,630,No Specific Choice,"No, I make it at home",,,,,,,,,,Household help,Self,,,
10279411671,25,Male,3,Karnataka,South,Yes,Brand,Price,Taste,30,35,Nandini,1400,Milk Pouches,Yes,Brand,Taste,Price,Thickness,11,Amul,286,Pouch,Retail Outlet,Parents,,,,
10279400655,29,Female,5,Karnataka,South,Yes,Taste,Price,Brand,30,15,Nandini,600,No Specific Choice,Yes,Taste,Brand,Thickness,Price,5,Nandini,131.2,Pouch,Retail Outlet,Self,,,,
10279334481,25,Female,4,Karnataka,South,No,,,,,,,,,Yes,Brand,Thickness,Taste,Price,6,Nandini,131.2,No Specific Choice,Retail Outlet,Parents,,,,
10279333212,31,Male,2,Uttar Pradesh,North,Yes,Taste,Brand,Price,30,45,Nandini,1800,No Specific Choice,Yes,Taste,Thickness,Brand,Price,12,Milky Mist,312,Pouch,Retail Outlet,Self,,,,
10279321375,28,Female,5,Karnataka,South,Yes,Price,Taste,Brand,4,35,Nandini,1400,Milk Pouches,Yes,Brand,Taste,Price,Thickness,5,Nandini,131.2,Pouch,Retail Outlet,,,,,
10279284037,30,Female,8+,Karnataka,South,No,,,,,,,,,No,,,,,,,,,,Parents,,,,
10279283054,40,Female,4,Punjab,North,Yes,Taste,Brand,Price,4,35,Nandini,1400,Tetrapak,Yes,Taste,Thickness,Brand,Price,6,Milky Mist,312,Cup,Retail Outlet,,,,,
10279245522,33,Male,6,West Bengal,East,Yes,Taste,Brand,Price,30,1,Nandini,20,Milk Pouches,Yes,Thickness,Taste,Price,Brand,4,Mother Dairy,100,No Specific Choice,Retail Outlet,Self,,,,
10279226091,28,Male,3,Karnataka,South,Yes,Taste,Brand,Price,30,25,Locally Sourced,625,Reusable Containers,"No, I make it at home",,,,,,,,,,Self,,,,
10279225169,20,Female,5,Karnataka,South,Yes,Price,Brand,Taste,4,1,Nandini,20,Milk Pouches,Yes,Brand,Taste,Price,Thickness,2,Nandini,41,Pouch,Retail Outlet,Self,,,,
10279218277,26,Female,4,Karnataka,South,Yes,Brand,Taste,Price,30,1,Nandini,20,Milk Pouches,No,,,,,,,,,,Parents,,,,
